clave,anio,titulo,fecha_aprobacion,observaciones,estatus,pdfs
CD-LXVI-II-2P-108,II,"PROYECTO de Decreto por el que se expide la Ley Federal de Cine y el Audiovisual, y se abroga la Ley Federal de Cinematografía.",24-Mar-2026,Aprobado por el Senado el 15-Abr-2026. Pasa al Ejecutivo Federal. Publicado en el DOF el 22-May-2026.,publicada_dof,iniclave/66/CD-LXVI-II-2P-108/01_minuta_108_24mar26.pdf;iniclave/66/CD-LXVI-II-2P-108/02_dictamen_108_24mar26.pdf;iniclave/66/CD-LXVI-II-2P-108/03_dof_108_22may26.pdf
CD-LXVI-II-2P-109,II,"PROYECTO de Decreto por el que se reforman y adicionan diversas disposiciones de la Ley de Vivienda, en materia de vivienda adecuada.",24-Mar-2026,Aprobado por el Senado el 21-Abr-2026. Pasa al Ejecutivo Federal. Publicado en el DOF el 29-Abr-2026.,publicada_dof,iniclave/66/CD-LXVI-II-2P-109/01_minuta_109_24mar26.pdf;iniclave/66/CD-LXVI-II-2P-109/02_dictamen_109_24mar26.pdf;iniclave/66/CD-LXVI-II-2P-109/03_dof_109_29abr29.pdf
CD-LXVI-II-2P-110,II,PROYECTO de Decreto por el que se reforma el artículo 141 del Código Fiscal de la Federación.,25-Mar-2026,Aprobado por el Senado el 07-Abr-2026. Pasa al Ejecutivo Federal. Publicado en el DOF el 09-Abr-2026.,publicada_dof,iniclave/66/CD-LXVI-II-2P-110/01_minuta_110_25mar26.pdf;iniclave/66/CD-LXVI-II-2P-110/02_dictamen_110_25mar26.pdf;iniclave/66/CD-LXVI-II-2P-110/03_dof_110_09abr26.pdf
CD-LXVI-II-2P-111,II,"PROYECTO de Decreto por el que se expide la Ley para el Fomento de la Inversión en Infraestructura Estratégica para el Desarrollo con Bienestar, y se reforman y adicionan diversas disposiciones de la Ley Federal de Presupuesto y Responsabilidad Hacendaria.",25-Mar-2026,Aprobado por el Senado el 07-Abr-2026. Pasa al Ejecutivo Federal. Publicado en el DOF el 09-Abr-2026.,publicada_dof,iniclave/66/CD-LXVI-II-2P-111/01_minuta_111_25mar26.pdf;iniclave/66/CD-LXVI-II-2P-111/02_dictamen_111_25mar26.pdf;iniclave/66/CD-LXVI-II-2P-111/01_modifica_111_25mar26.pdf;iniclave/66/CD-LXVI-II-2P-111/03_dof_111_09abr26.pdf
CD-LXVI-II-2P-112,II,"PROYECTO de Decreto por el que se reforman y adicionan diversas disposiciones de la Ley Federal del Trabajo y de la Ley Federal del Derecho de Autor, en materia de derechos de las personas trabajadoras artistas intérpretes o ejecutantes.",07-Abr-2026,Aprobado por el Senado el 15-Abr-2026. Pasa al Ejecutivo Federal. Publicado en el DOF el 14-May-2026.,publicada_dof,iniclave/66/CD-LXVI-II-2P-112/01_minuta_112_07abr26.pdf;iniclave/66/CD-LXVI-II-2P-112/02_dictamen_112_07abr26.pdf;iniclave/66/CD-LXVI-II-2P-112/01_modifica_112_07abr26.pdf;iniclave/66/CD-LXVI-II-2P-112/03_dof_112_14may26.pdf
CD-LXVI-II-2P-113,II,PROYECTO de Decreto por el que se adiciona una fracción I Sexies al artículo 36 de la Ley Orgánica de la Administración Pública Federal.,09-Abr-2026,Aprobado por el Senado el 21-Abr-2026. Pasa al Ejecutivo Federal. Publicado en el DOF el 07-May-2026.,publicada_dof,iniclave/66/CD-LXVI-II-2P-113/01_minuta_113_09abr26.pdf;iniclave/66/CD-LXVI-II-2P-113/02_dictamen_113_09abr26.pdf;iniclave/66/CD-LXVI-II-2P-113/03_dof_07may26.pdf
CD-LXVI-II-2P-114,II,"PROYECTO de Decreto por el que se reforman y adicionan diversas disposiciones de la Ley General de Salud, en materia de enfermedades raras.",15-Abr-2026,Pendiente Senado.,en_revisora,iniclave/66/CD-LXVI-II-2P-114/01_minuta_114_15abr26.pdf;iniclave/66/CD-LXVI-II-2P-114/02_dictamen_114_15abr26.pdf
CD-LXVI-II-2P-115,II,"PROYECTO de Decreto por el que se adiciona un artículo 29 Bis a la Ley General de Sociedades Cooperativas, en materia de fomento de la cultura organizacional de los pueblos y comunidades indígenas y afromexicanos.",15-Abr-2026,Pendiente Senado.,en_revisora,iniclave/66/CD-LXVI-II-2P-115/01_minuta_115_15abr26.pdf;iniclave/66/CD-LXVI-II-2P-115/02_dictamen_115_15abr26.pdf
CD-LXVI-II-2P-116,II,PROYECTO de Decreto por el que se reforman los párrafos primero y segundo del artículo 279 de la Ley Federal del Trabajo y la fracción XIX del artículo 5 A de la Ley del Seguro Social.,15-Abr-2026,Pendiente Senado.,en_revisora,iniclave/66/CD-LXVI-II-2P-116/01_minuta_116_15abr26.pdf;iniclave/66/CD-LXVI-II-2P-116/02_dictamen_116_15abr26.pdf
CD-LXVI-II-2P-117,II,PROYECTO de Decreto por el que se reforman los artículos 94 de la Ley del Seguro Social y 39 de la Ley del Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado.,15-Abr-2026,Pendiente Senado.,en_revisora,iniclave/66/CD-LXVI-II-2P-117/01_minuta_117_15abr26.pdf;iniclave/66/CD-LXVI-II-2P-117/02_dictamen_117_15abr26.pdf
